County,fips,state,pop,popAsPercentStatePopulation,IHE with >5000 full-time enrollment,Full-time enrollment,Full-time enrollment as a percent of the population,CasesAsPctNationalTotal,Cases,CasesPer100K,Deaths,DeathsPer100K,CasesPctChangeFromPreviousWeek ,DeathsPctChangeFromPreviousWeek ,CumulativeCases,CumulativeDeaths,RapidRise_Last_14Days,AreaOfConcernCategory,RapidRiserCategory,labTestPositivityRate ,TotalPCRdiagnosticTests,PCRper100K,MedianTestLatency,PctTestsResultedIn3orfewerdays,AbsoluteChange_testPositivityRate,PctChange_TotalPCRdiagnosticTests,AbsoluteChange_testingLatency,AbsoluteChange_PctTestsResultedIn3orfewerdays,testPositivityRateChangeFrom2WeeksAgo,PctChange_totalDiagonisticFromTwoWeeksAgo,AbsoluteChange_testingLatency_fromTwoWeeksAgo,AbsoluteChangeFrom2WeeksAgo_PctTestResultedIn3orFewDays,pct_uninsured,pct_poverty,pctOver65Years,AvgHouseholdSize,pct_nonHispanicblack,pct_hispanic,pct_nativeAmericanAlaskanNative,pct_asian,SVI_score,CCVI_score,forecasted_case_trajectory
"Los Angeles County, CA",6037,CA,10039107,25.4,11,260018,2.6,6.9,103282,1029,593,5.9,33,37,648062,9031,4,SustainedHotspot,Recent,,21876,218,,,,-96,,,2.8,3,,,11,16,14,3,8,49,1,15,0.77,0.49,Uncertain
"San Bernardino County, CA",6071,CA,2180085,5.5,1,24628,1.1,2.6,38785,1779,146,6.7,88,329,168307,1387,10,SustainedHotspot,Continuing,,19740,905,,,,-83,,,1,12,,,9,17,12,3.3,8,54,2,8,0.9,0.58,Uncertain
"Riverside County, CA",6065,CA,2470546,6.3,2,33576,1.4,1.9,27998,1133,161,6.5,37,40,151713,1789,8,SustainedHotspot,Recent,,20561,832,,,,-81,,,3.7,23,,,10,15,15,3.3,6,50,2,7,0.79,0.56,Likely Decreasing
"Maricopa County, AZ",4013,AZ,4485414,61.6,3,83484,1.9,1.6,24455,545,373,8.3,-7,70,287646,4754,2,SustainedHotspot,Recent,14.9,161835,3608,1,96,-1.9,2,,4,2.2,-4,,-4,11,15,16,2.8,6,31,3,5,0.64,0.22,Uncertain
"Orange County, CA",6059,CA,3175692,8,3,81888,2.6,1.5,21842,688,84,2.6,21,35,130444,1779,6,SustainedHotspot,Recent,,22243,700,,,,-82,,,2.9,23,,,8,12,15,3,2,34,1,22,0.42,0.47,Uncertain
"San Diego County, CA",6073,CA,3338330,8.5,4,91421,2.7,1.4,20657,619,117,3.5,29,10,132098,1311,,SustainedHotspot,,,19792,593,,,,-85,,,2.2,7,,,9,13,15,2.9,5,34,1,13,0.56,0.28,Uncertain
"Cook County, IL",17031,IL,5150233,40.6,7,135244,2.6,1.2,17346,337,395,7.7,-24,-3,375360,7853,,SustainedHotspot,,11,166539,3234,,99,-2.2,-8,,2,-1.1,-4,,-2,10,15,15,2.6,23,26,1,8,0.68,0.73,Uncertain
"Miami-Dade County, FL",12086,FL,2716940,12.7,3,60195,2.2,1.1,16441,605,90,3.3,7,14,278739,4095,,SustainedHotspot,,12.1,164197,6043,,,-0.4,-5,,,0.3,2,,,18,18,17,3.1,15,69,0,2,0.82,0.81,Uncertain
"Fresno County, CA",6019,CA,999101,2.5,1,24424,2.4,0.9,13842,1385,89,8.9,282,107,58568,646,7,SustainedHotspot,Continuing,,9401,941,,,,-73,,,0.6,24,,,10,24,13,3.2,5,54,3,11,0.96,0.62,Uncertain
"Dallas County, TX",48113,TX,2635516,9.1,2,40184,1.5,0.9,13114,498,113,4.3,2,565,176906,1853,,SustainedHotspot,,16.1,46823,1777,2,90,1.2,-34,,-1,0.3,-1,1,-4,21,17,11,2.8,23,41,1,7,0.75,0.6,Uncertain
"Harris County, TX",48201,TX,4713325,16.3,3,56479,1.2,0.8,12569,267,98,2.1,26,29,222931,3260,,SustainedHotspot,,12.2,82436,1749,2,95,0.5,-29,1,4,0.9,6,,-4,20,16,11,2.9,19,44,1,7,0.72,0.56,Uncertain
"Clark County, NV",32003,NV,2266715,73.6,1,21541,1,0.8,11332,500,141,6.2,-15,-8,156166,2178,,SustainedHotspot,,18.7,75721,3341,1,92,-2.5,-9,,1,-0.6,8,,-1,13,14,15,2.8,12,32,1,10,0.74,0.63,Likely Decreasing
"Tarrant County, TX",48439,TX,2102515,7.3,2,36456,1.7,0.7,10148,483,98,4.7,4,15,132591,1290,,SustainedHotspot,,18.6,42038,1999,2,90,0.8,-28,,6,0,6,,-11,16,13,12,2.9,17,29,1,6,0.55,0.34,Uncertain
"Bexar County, TX",48029,TX,2003554,6.9,2,39255,2,0.6,9024,450,60,3,36,58,105164,1642,,SustainedHotspot,,17.2,41085,2051,2,93,3.5,-13,,2,0.7,-9,1,-5,15,16,12,3,7,61,1,3,0.83,0.37,Uncertain
"Santa Clara County, CA",6085,CA,1927852,4.9,3,51162,2.7,0.6,8322,432,62,3.2,-8,51,58637,615,5,SustainedHotspot,Recent,,20090,1042,,,,-82,,,1.1,8,,,5,8,14,3,2,25,1,39,0.36,0.15,Uncertain
"Suffolk County, NY",36103,NY,1476601,7.6,2,29422,2,0.5,7521,509,65,4.4,-1,51,84146,2197,,SustainedHotspot,,9.2,76431,5176,2,85,1.4,-11,,-6,0.7,-1,,1,5,7,17,3,7,20,1,4,0.21,0.28,Uncertain
"Broward County, FL",12011,FL,1952778,9.1,1,13150,0.7,0.5,7451,382,42,2.2,22,8,128963,1792,,SustainedHotspot,,10.7,81950,4197,,,-0.3,0,,,-0.5,0,,,15,13,17,2.8,28,31,0,4,0.58,0.61,Uncertain
"Kings County, NY",36047,NY,2559903,13.2,,15416,0.6,0.5,7332,286,58,2.3,5,49,110327,7633,,SustainedHotspot,,6.1,137950,5389,1,94,0.6,-4,,-1,0.4,8,,2,8,21,14,2.7,30,19,1,13,0.82,0.91,Uncertain
"Queens County, NY",36081,NY,2253858,11.6,2,29190,1.3,0.5,7236,321,60,2.7,-4,62,111904,7479,,SustainedHotspot,,7.5,140488,6233,1,93,0.5,-11,,-2,0.5,11,,0,11,13,16,2.9,18,28,1,27,0.62,0.83,Uncertain
"Pima County, AZ",4019,AZ,1047279,14.4,1,36213,3.5,0.5,7098,678,121,11.6,-4,39,61344,938,3,SustainedHotspot,Recent,24.1,30700,2931,1,99,-0.7,4,,1,3.4,7,,0,10,18,20,2.5,3,38,4,3,0.88,0.3,Uncertain
"Sacramento County, CA",6067,CA,1552058,3.9,1,25467,1.6,0.5,6949,448,87,5.6,9,36,58001,786,4,SustainedHotspot,Recent,,8388,540,,,,-83,,,0.2,5,,,6,16,14,2.8,10,24,2,17,0.73,0.39,Uncertain
"San Joaquin County, CA",6077,CA,762148,1.9,1,5688,0.8,0.5,6663,874,55,7.2,62,686,39304,592,8,SustainedHotspot,Continuing,,4377,574,,,,-83,,,-0.5,0,,,7,16,13,3.2,7,42,2,17,0.89,0.65,Uncertain
"Middlesex County, MA",25017,MA,1611699,23.4,6,90325,5.6,0.4,6612,410,71,4.4,-7,25,67233,2611,1,SustainedHotspot,Recent,5,109904,6819,1,98,0,-31,,1,0.4,-3,,0,3,8,16,2.6,5,8,0,13,0.23,0.3,Uncertain
"Kern County, CA",6029,CA,900202,2.3,1,8914,1,0.4,6566,729,12,1.3,-10,-8,60260,482,9,SustainedHotspot,Recent,,6076,675,,,,-84,,,1.6,48,,,9,22,11,3.2,5,55,3,5,0.97,0.69,Uncertain
"Franklin County, OH",39049,OH,1316756,11.3,1,61290,4.7,0.4,6208,471,2,0.2,-8,-82,77087,695,3,SustainedHotspot,Recent,14.4,26810,2036,2,98,-1.1,1,,0,-0.3,7,,0,8,16,12,2.5,23,6,0,6,0.51,0.35,Uncertain
"Allegheny County, PA",42003,PA,1216045,9.5,3,61133,5,0.4,5975,491,128,10.5,-16,-1,47908,845,1,SustainedHotspot,Recent,12.3,38612,3175,2,80,-1.3,-13,,9,0.7,5,,-7,4,12,19,2.2,13,2,0,4,0.25,0.11,Uncertain
"Nassau County, NY",36059,NY,1356924,7,4,39330,2.9,0.4,5846,431,33,2.4,4,27,77968,2337,,SustainedHotspot,,7.6,79788,5880,2,88,0.9,-10,,-4,0.7,3,1,1,5,6,18,3,12,17,1,11,0.24,0.17,Uncertain
"Cuyahoga County, OH",39035,OH,1235072,10.6,2,31202,2.5,0.4,5665,459,41,3.3,-26,-20,63720,872,4,SustainedHotspot,Recent,16.6,12531,1015,2,84,-2.7,-28,-1,20,-2.9,32,,-9,6,18,19,2.3,30,6,0,3,0.68,0.39,Uncertain
"Providence County, RI",44007,RI,638931,60.3,3,31984,5,0.4,5658,886,76,11.9,-6,41,51871,1190,1,Hotspot,,8.1,55403,8671,1,98,-1.3,-12,,1,-1.2,2,,3,6,16,16,2.6,9,24,1,5,0.76,0.29,Uncertain
"Salt Lake County, UT",49035,UT,1160437,36.2,1,27064,2.3,0.4,5540,477,39,3.4,-8,11,100482,515,,SustainedHotspot,,12.8,53156,4581,1,99,-1.2,11,,1,-3.6,-6,,2,11,10,11,3,2,19,1,5,0.32,0.05,Uncertain
"Marion County, IN",18097,IN,964582,14.3,1,34857,3.6,0.4,5534,574,67,6.9,-8,14,65065,1055,,SustainedHotspot,,13.7,28615,2967,2,88,-1.5,-30,,8,-1.3,-1,,1,11,19,13,2.5,28,11,0,4,0.8,0.38,Likely Decreasing
"Alameda County, CA",6001,CA,1671329,4.2,2,53244,3.2,0.4,5504,329,51,3.1,3,55,44756,609,3,SustainedHotspot,Recent,,13020,779,,,,-82,,,1.4,8,,,5,11,14,2.8,10,22,1,32,0.47,0.24,Uncertain
"Unallocated, TN",47000,TN,,,,,,0.4,5457,,25,,9,79,26853,128,,,,68.3,104,,1,100,7,-75,,8,16,-48,1,-8,,,,,,,,,,,Uncertain
"Collin County, TX",48085,TX,1034730,3.6,,,0,0.4,5325,515,32,3.1,13,78,41965,334,,SustainedHotspot,,11.4,29669,2867,2,86,0.2,-18,,-5,-0.2,17,,-4,10,7,11,2.8,10,16,1,16,0.15,0.04,Uncertain
"Philadelphia County, PA",42101,PA,1584064,12.4,4,96491,6.1,0.4,5307,335,172,10.9,-19,406,88420,2313,,SustainedHotspot,,11,52114,3290,1,88,-1.8,-12,,1,-1.7,-1,,0,9,25,14,2.6,41,15,1,8,0.92,0.8,Uncertain
