County,FIPS code,County type,CBSA type,State Abbreviation,Population,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,Full-time enrollment,Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases -  change,Deaths -  change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative deaths,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days, tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests -  change (may be an underestimate due to delayed reporting),Testing latency - absolute change, tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days(may be an underestimate due to delayed reporting),Median test latency - last 7 days, tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests -  change (may be an underestimate due to delayed reporting),Testing latency - absolute change, tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - 15-21 days ago (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - 15-21 days ago (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - 15-21 days ago (may be an underestimate due to delayed reporting),Median test latency - 15-21 days ago, tests resulted in 3 or fewer days - 15-21 days ago, Uninsured, In Poverty, Over Age 65,Average household size, Non-Hispanic Black, Hispanic, Native American / Alaskan Native, Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,Metropolitan,CA,10039107,25.4,3,11,260018,2.6,6.3,80654,803,547,5.4,-15,-2,6.2,95360,950,556,5.5,678040,9305,1,,SustainedHotspot,Recent,17.4,313047,3118,,,1.9,-46,,,15.5,583940,5817,,,3,6,,,12.5,552530,5504,,,11,16,14,3,8,49,1,15,0.77,0.49,Uncertain
"San Bernardino County, CA",6071,Large fringe metro,Metropolitan,CA,2180085,5.5,0.7,1,24628,1.1,2,25753,1181,97,4.4,-17,-15,2,30927,"1,419",114,5.2,176866,1420,8,,SustainedHotspot,Recent,23.2,78677,3609,,,2,-35,,,21.1,121655,5580,,,4,15,,,17.1,106053,4865,,,9,17,12,3.3,8,54,2,8,0.9,0.58,Uncertain
"Maricopa County, AZ",4013,Large central metro,Metropolitan,AZ,4485414,61.6,1.4,3,83484,1.9,2,25030,558,282,6.3,-12,-9,1.9,28355,632,311,6.9,299056,4892,1,,SustainedHotspot,Recent,15.8,144770,3228,1,95,0,-5,,-1,15.7,152665,3404,1,96,0.5,-12,,5,15.2,174190,3883,1,91,11,15,16,2.8,6,31,3,5,0.64,0.22,Uncertain
"Orange County, CA",6059,Large central metro,Metropolitan,CA,3175692,8,1,3,81888,2.6,1.8,22838,719,48,1.5,8,-33,1.4,21065,663,72,2.3,141205,1782,4,,SustainedHotspot,Recent,18,88279,2780,,,1.1,-32,,,16.9,130257,4102,,,3.6,18,,,13.3,110619,3483,,,8,12,15,3,2,34,1,22,0.42,0.47,Uncertain
"Riverside County, CA",6065,Large central metro,Metropolitan,CA,2470546,6.3,0.7,2,33576,1.4,1.7,21373,865,85,3.4,-24,-50,1.8,28112,"1,138",171,6.9,162435,1829,5,,SustainedHotspot,Recent,22.5,65645,2657,,,0.2,-45,,,22.3,119084,4820,,,4.7,27,,,17.7,93811,3797,,,10,15,15,3.3,6,50,2,7,0.79,0.56,Likely Decreasing
"San Diego County, CA",6073,Large central metro,Metropolitan,CA,3338330,8.5,1,4,91421,2.7,1.5,19498,584,149,4.5,8,28,1.2,17997,539,116,3.5,139961,1402,,,SustainedHotspot,,13.3,101416,3038,,,4.8,-26,,,8.5,137853,4129,,,8.5,3,,,0.1,133417,3997,,,9,13,15,2.9,5,34,1,13,0.56,0.28,Uncertain
"Cook County, IL",17031,Large central metro,Metropolitan,IL,5150233,40.6,1.6,7,135244,2.6,1.3,16193,314,377,7.3,-19,1,1.3,20016,389,372,7.2,382213,8031,,30,SustainedHotspot,,10.2,165676,3217,,99,-2.3,-4,,0,12.5,173402,3367,,99,-1.1,-7,,2,13.6,186214,3616,,97,10,15,15,2.6,23,26,1,8,0.68,0.73,Uncertain
"Miami-Dade County, FL",12086,Large central metro,Metropolitan,FL,2716940,12.7,0.8,3,60195,2.2,1.1,13569,499,74,2.7,-17,-1,1.1,16313,600,75,2.8,283285,4108,,,SustainedHotspot,,11.5,174310,6416,,,-0.9,0,,,12.5,174762,6432,,,0.4,3,,,12,169891,6253,,,18,18,17,3.1,15,69,0,2,0.82,0.81,Uncertain
"Fresno County, CA",6019,Medium metro,Metropolitan,CA,999101,2.5,0.3,1,24424,2.4,0.9,11517,1153,89,8.9,54,493,0.5,7457,746,15,1.5,61435,646,8,,SustainedHotspot,Recent,17.3,28177,2820,,,7.4,-29,,,9.8,39792,3983,,,8.8,33,,,1,29865,2989,,,10,24,13,3.2,5,54,3,11,0.96,0.62,Uncertain
"Clark County, NV",32003,Large central metro,Metropolitan,NV,2266715,73.6,0.7,1,21541,1,0.9,11446,505,141,6.2,-14,-10,0.9,13367,590,156,6.9,161913,2259,,3,SustainedHotspot,,19.8,72570,3202,1,96,-0.2,-18,,6,20,88925,3923,1,90,-1.6,13,,-2,21.7,78856,3479,1,92,13,14,15,2.8,12,32,1,10,0.74,0.63,Likely Decreasing
"Harris County, TX",48201,Large central metro,Metropolitan,TX,4713325,16.3,1.4,3,56479,1.2,0.8,9586,203,113,2.4,-12,30,0.7,10929,232,87,1.8,225365,3328,,,SustainedHotspot,,12.7,90098,1912,2,89,0.5,-22,1,-8,12.2,116023,2462,1,97,0.9,0,,8,11.3,115880,2459,1,89,20,16,11,2.9,19,44,1,7,0.72,0.56,Uncertain
