date,state_name,state_postal,doses_distributed,doses_distributed_per_100k,doses_administered,doses_administered_per_100k,first_dose_administered,percent_first_dose_administered,fully_vaccinated,percent_fully_vaccinated
2021-04-08,Ohio,OH,8155225.0,69768.0,6157849.0,52680.0,3900595.0,33.4,2355045.0,20.1
2021-04-08,Kentucky,KY,3039575.0,68035.0,2414960.0,54054.0,1541820.0,34.5,953326.0,21.3
2021-04-08,West Virginia,WV,1315275.0,73391.0,974007.0,54349.0,583217.0,32.5,395951.0,22.1
2021-04-07,Ohio,OH,7936665.0,67898.0,6028725.0,51576.0,3834469.0,32.8,2284426.0,19.5
2021-04-07,Kentucky,KY,2970915.0,66498.0,2368560.0,53016.0,1516780.0,34,926086.0,20.7
2021-04-07,West Virginia,WV,1306975.0,72928.0,959003.0,53511.0,575884.0,32.1,386361.0,21.6
2021-04-06,Ohio,OH,7721995.0,66062.0,5943655.0,50848.0,3782105.0,32.4,2248836.0,19.2
2021-04-06,Kentucky,KY,2955035.0,66143.0,2333781.0,52237.0,1497649.0,33.5,906780.0,20.3
2021-04-06,West Virginia,WV,1304575.0,72794.0,952022.0,53122.0,572432.0,31.9,382002.0,21.3
2021-04-05,Ohio,OH,7410125.0,63393.0,5901310.0,50486.0,3757736.0,32.1,2231979.0,19.1
2021-04-05,Kentucky,KY,2731745.0,61145.0,2327458.0,52096.0,1494867.0,33.5,903711.0,20.2
2021-04-05,West Virginia,WV,1246555.0,69557.0,946918.0,52837.0,569655.0,31.8,379705.0,21.2
2021-04-02,Ohio,OH,7260405.0,62113.0,5531731.0,47324.0,3544121.0,30.3,2066170.0,17.7
2021-04-02,Kentucky,KY,2683265.0,60060.0,2192380.0,49072.0,1430282.0,32,827294.0,18.5
2021-04-02,West Virginia,WV,1171365.0,65361.0,925146.0,51622.0,557107.0,31.1,367190.0,20.5
2021-04-01,Ohio,OH,7194775.0,61551.0,5400664.0,46203.0,3464729.0,29.6,2011920.0,17.2
2021-04-01,Kentucky,KY,2607705.0,58368.0,2142945.0,47966.0,1407333.0,31.5,798150.0,17.9
2021-04-01,West Virginia,WV,1152405.0,64303.0,896388.0,50018.0,547917.0,30.6,347394.0,19.4
2021-03-31,Ohio,OH,6921325.0,59212.0,5295592.0,45304.0,3399897.0,29.1,1970300.0,16.9
2021-03-31,Kentucky,KY,2572045.0,57570.0,2100387.0,47013.0,1386294.0,31,775208.0,17.4
2021-03-31,West Virginia,WV,1136405.0,63410.0,874459.0,48794.0,537000.0,30,336742.0,18.8
2021-03-30,Ohio,OH,6797795.0,58155.0,5219217.0,44650.0,3354361.0,28.7,1939120.0,16.6
2021-03-30,Kentucky,KY,2559795.0,57296.0,2074948.0,46444.0,1373108.0,30.7,761804.0,17.1
2021-03-30,West Virginia,WV,1129335.0,63016.0,866037.0,48324.0,530858.0,29.6,334096.0,18.6
2021-03-29,Ohio,OH,6386995.0,54641.0,5168120.0,44213.0,3324459.0,28.4,1919893.0,16.4
2021-03-29,Kentucky,KY,2371375.0,53079.0,2058753.0,46081.0,1365477.0,30.6,752613.0,16.8
2021-03-29,West Virginia,WV,1067635.0,59573.0,857701.0,47859.0,525033.0,29.3,331161.0,18.5
2021-03-28,Ohio,OH,6386995.0,54641.0,5074719.0,43414.0,3266675.0,27.9,1885553.0,16.1
2021-03-28,Kentucky,KY,2371375.0,53079.0,2019234.0,45197.0,1347152.0,30.2,731464.0,16.4
2021-03-28,West Virginia,WV,1067635.0,59573.0,856921.0,47815.0,524381.0,29.3,330678.0,18.5
2021-03-26,Ohio,OH,6250105.0,53470.0,4805634.0,41112.0,3111035.0,26.6,1771700.0,15.2
2021-03-26,Kentucky,KY,2310035.0,51706.0,1924602.0,43078.0,1300503.0,29.1,681481.0,15.3
2021-03-26,West Virginia,WV,1007855.0,56237.0,819288.0,45715.0,501565.0,28,314994.0,17.6
2021-03-25,Ohio,OH,6190705.0,52961.0,4679419.0,40032.0,3031371.0,25.9,1722559.0,14.7
2021-03-25,Kentucky,KY,2258935.0,50562.0,1876610.0,42004.0,1271160.0,28.5,661734.0,14.8
2021-03-25,West Virginia,WV,1007155.0,56198.0,793552.0,44279.0,489826.0,27.3,300747.0,16.8
2021-03-24,Ohio,OH,5857825.0,50114.0,4582163.0,39200.0,2965678.0,25.4,1689653.0,14.5
2021-03-24,Kentucky,KY,2228035.0,49870.0,1838590.0,41153.0,1249160.0,28,644909.0,14.4
2021-03-24,West Virginia,WV,992855.0,55400.0,777941.0,43408.0,482432.0,26.9,292335.0,16.3
2021-03-23,Ohio,OH,5828105.0,49859.0,4499814.0,38496.0,2903017.0,24.8,1667152.0,14.3
2021-03-23,Kentucky,KY,2214795.0,49574.0,1813786.0,40598.0,1231911.0,27.6,635620.0,14.2
2021-03-23,West Virginia,WV,992755.0,55395.0,769358.0,42929.0,477015.0,26.6,288979.0,16.1
2021-03-22,Ohio,OH,5540795.0,47401.0,4447020.0,38044.0,2866528.0,24.5,1650203.0,14.1
