date,state_abbreviation,state_name,state_population,doses_distributed_cumulative,doses_administered_cumulative,new_doses_distributed,new_doses_administered,new_doses_distributed_7_day_avg,new_doses_administered_7_day_avg,percent_doses_administered,percent_doses_administered_7_day_avg
2021-06-18,KY,Kentucky,4467673,4403815,3880738,7790,14190,3998.57,18529.57,88,463
2021-06-18,OH,Ohio,11689100,12261205,10438706,22030,34681,14904.29,36460.71,85,245
2021-06-18,WV,West Virginia,1792147,1876585,1375056,4260,1941,2078.57,3573.71,73,172
2021-06-17,KY,Kentucky,4467673,4396025,3866548,3460,35850,2885.71,16502.43,88,572
2021-06-17,OH,Ohio,11689100,12239175,10404025,22260,46830,11757.14,31506.29,85,268
2021-06-17,WV,West Virginia,1792147,1872325,1373115,700,1862,1470.00,3296.43,73,224
2021-06-16,KY,Kentucky,4467673,4392565,3830698,100,36,2677.14,14029.29,87,524
2021-06-16,OH,Ohio,11689100,12216915,10357195,6660,32211,10822.86,29647.29,85,274
2021-06-16,WV,West Virginia,1792147,1871625,1371253,0,1666,1398.57,4910.57,73,351
2021-06-15,KY,Kentucky,4467673,4392465,3830662,2350,10188,2921.43,15219.71,87,521
2021-06-15,OH,Ohio,11689100,12210255,10324984,15100,33282,10782.86,29857.71,85,277
2021-06-15,WV,West Virginia,1792147,1871625,1369587,540,1873,1398.57,4735.29,73,339
2021-06-14,KY,Kentucky,4467673,4390115,3820474,0,31003,3078.57,14729.14,87,478
2021-06-14,OH,Ohio,11689100,12195155,10291702,0,35899,11550.00,27958.14,84,242
2021-06-14,WV,West Virginia,1792147,1871085,1367714,0,7318,1421.43,4682.43,73,329
2021-06-13,KY,Kentucky,4467673,4390115,3789471,14290,16806,3078.57,11632.57,86,378
2021-06-13,OH,Ohio,11689100,12195155,10255803,38280,31797,11550.00,27151.14,84,235
2021-06-13,WV,West Virginia,1792147,1871085,1360396,9050,2343,1421.43,3679.29,73,259
2021-06-12,KY,Kentucky,4467673,4375825,3772665,0,21634,6898.57,13155.14,86,191
2021-06-12,OH,Ohio,11689100,12156875,10224006,0,40525,17600.00,28721.43,84,163
2021-06-12,WV,West Virginia,1792147,1862035,1358053,0,8013,3038.57,4621.71,73,152
2021-06-11,KY,Kentucky,4467673,4375825,3751031,0,0,6898.57,10099.86,86,146
2021-06-11,OH,Ohio,11689100,12156875,10183481,0,0,17600.00,28361.43,84,161
2021-06-11,WV,West Virginia,1792147,1862035,1350040,0,0,3038.57,3491.29,73,115
2021-06-10,KY,Kentucky,4467673,4375825,3751031,2000,18538,6898.57,11560.43,86,168
2021-06-10,OH,Ohio,11689100,12156875,10183481,15720,33817,17600.00,32871.86,84,187
2021-06-10,WV,West Virginia,1792147,1862035,1350040,200,13161,3038.57,4121.57,73,136
2021-06-09,KY,Kentucky,4467673,4373825,3732493,1810,8369,7564.29,10761.57,85,142
2021-06-09,OH,Ohio,11689100,12141155,10149664,6380,33684,23731.43,31374.86,84,132
2021-06-09,WV,West Virginia,1792147,1861835,1336879,0,439,3655.71,2430.71,72,66
2021-06-08,KY,Kentucky,4467673,4372015,3724124,3450,6754,7640.00,9932.14,85,130
2021-06-08,OH,Ohio,11689100,12134775,10115980,20470,19985,24658.57,28054.71,83,114
2021-06-08,WV,West Virginia,1792147,1861835,1336440,700,1503,3655.71,2716.71,72,74
2021-06-07,KY,Kentucky,4467673,4368565,3717370,0,9327,13171.43,10422.00,85,79
2021-06-07,OH,Ohio,11689100,12114305,10095995,0,30250,38215.71,29681.14,83,78
2021-06-07,WV,West Virginia,1792147,1861135,1334937,0,296,7264.29,2978.00,72,41
2021-06-06,KY,Kentucky,4467673,4368565,3708043,41030,27464,13171.43,9089.57,85,69
2021-06-06,OH,Ohio,11689100,12114305,10065745,80630,42789,38215.71,25359.71,83,66
2021-06-06,WV,West Virginia,1792147,1861135,1334641,20370,8940,7264.29,2935.71,72,40
2021-06-05,KY,Kentucky,4467673,4327535,3680579,0,247,7310.00,9226.29,85,126
2021-06-05,OH,Ohio,11689100,12033675,10022956,0,38005,26697.14,30561.57,83,114
2021-06-05,WV,West Virginia,1792147,1840765,1325701,0,100,4354.29,2896.00,72,67
2021-06-04,KY,Kentucky,4467673,4327535,3680332,0,10224,7310.00,9191.00,85,126
2021-06-04,OH,Ohio,11689100,12033675,9984951,0,31573,26697.14,25132.29,83,94
2021-06-04,WV,West Virginia,1792147,1840765,1325601,0,4412,4354.29,2881.71,72,66
2021-06-03,KY,Kentucky,4467673,4327535,3670108,6660,12946,7310.00,9552.57,85,131
2021-06-03,OH,Ohio,11689100,12033675,9953378,58640,23338,26697.14,26023.14,83,97
2021-06-03,WV,West Virginia,1792147,1840765,1321189,4520,1325,4354.29,2679.29,72,62
2021-06-02,KY,Kentucky,4467673,4320875,3657162,2340,2563,8452.86,10351.86,85,122
2021-06-02,OH,Ohio,11689100,11975035,9930040,12870,10443,24674.29,29248.29,83,119
2021-06-02,WV,West Virginia,1792147,1836245,1319864,0,2441,4925.71,3106.43,72,63
2021-06-01,KY,Kentucky,4467673,4318535,3654599,42170,10183,8428.57,12290.57,85,146
2021-06-01,OH,Ohio,11689100,11962165,9919597,115370,31370,27541.43,33846.14,83,123
2021-06-01,WV,West Virginia,1792147,1836245,1317423,25960,3332,5005.71,3405.57,72,68
2021-05-31,KY,Kentucky,4467673,4276365,3644416,0,0,3120.00,11727.86,85,376
2021-05-31,OH,Ohio,11689100,11846795,9888227,0,0,16382.86,31670.29,83,193
2021-05-31,WV,West Virginia,1792147,1810285,1314091,0,0,1564.29,3443.29,73,220
2021-05-30,KY,Kentucky,4467673,4276365,3644416,0,28421,3120.00,13162.57,85,422
2021-05-30,OH,Ohio,11689100,11846795,9888227,0,79202,16382.86,36687.43,83,224
2021-05-30,WV,West Virginia,1792147,1810285,1314091,0,8662,1564.29,3734.71,73,239
2021-05-29,KY,Kentucky,4467673,4276365,3615995,0,0,9615.71,15709.57,85,163
2021-05-29,OH,Ohio,11689100,11846795,9809025,0,0,40897.14,43353.57,83,106
2021-05-29,WV,West Virginia,1792147,1810285,1305429,0,0,6078.57,4162.29,72,68
